Series ID,Year,Period,Month,Value,Description
JTS00000000HIL,2000,M12,12,5395,Hires
JTS00000000HIL,2001,M01,1,5801,Hires
JTS00000000HIL,2001,M02,2,5434,Hires
JTS00000000HIL,2001,M03,3,5619,Hires
JTS00000000HIL,2001,M04,4,5335,Hires
JTS00000000HIL,2001,M05,5,5358,Hires
JTS00000000HIL,2001,M06,6,5083,Hires
JTS00000000HIL,2001,M07,7,5173,Hires
JTS00000000HIL,2001,M08,8,5076,Hires
JTS00000000HIL,2001,M09,9,4961,Hires
JTS00000000HIL,2001,M10,10,5016,Hires
JTS00000000HIL,2001,M11,11,4887,Hires
JTS00000000HIL,2001,M12,12,4788,Hires
JTS00000000HIL,2002,M01,1,4900,Hires
JTS00000000HIL,2002,M02,2,4883,Hires
JTS00000000HIL,2002,M03,3,4626,Hires
JTS00000000HIL,2002,M04,4,4930,Hires
JTS00000000HIL,2002,M05,5,4923,Hires
JTS00000000HIL,2002,M06,6,4821,Hires
JTS00000000HIL,2002,M07,7,5014,Hires
JTS00000000HIL,2002,M08,8,4881,Hires
JTS00000000HIL,2002,M09,9,4870,Hires
JTS00000000HIL,2002,M10,10,4803,Hires
JTS00000000HIL,2002,M11,11,4941,Hires
JTS00000000HIL,2002,M12,12,4930,Hires
JTS00000000HIL,2003,M01,1,5008,Hires
JTS00000000HIL,2003,M02,2,4681,Hires
JTS00000000HIL,2003,M03,3,4444,Hires
JTS00000000HIL,2003,M04,4,4689,Hires
JTS00000000HIL,2003,M05,5,4618,Hires
JTS00000000HIL,2003,M06,6,4772,Hires
JTS00000000HIL,2003,M07,7,4721,Hires
JTS00000000HIL,2003,M08,8,4666,Hires
JTS00000000HIL,2003,M09,9,4870,Hires
JTS00000000HIL,2003,M10,10,4898,Hires
JTS00000000HIL,2003,M11,11,4726,Hires
JTS00000000HIL,2003,M12,12,4967,Hires
JTS00000000HIL,2004,M01,1,4839,Hires
JTS00000000HIL,2004,M02,2,4690,Hires
JTS00000000HIL,2004,M03,3,5170,Hires
JTS00000000HIL,2004,M04,4,5115,Hires
JTS00000000HIL,2004,M05,5,4951,Hires
JTS00000000HIL,2004,M06,6,4949,Hires
JTS00000000HIL,2004,M07,7,4858,Hires
JTS00000000HIL,2004,M08,8,5129,Hires
JTS00000000HIL,2004,M09,9,4984,Hires
JTS00000000HIL,2004,M10,10,5122,Hires
JTS00000000HIL,2004,M11,11,5204,Hires
JTS00000000HIL,2004,M12,12,5239,Hires
JTS00000000HIL,2005,M01,1,5187,Hires
JTS00000000HIL,2005,M02,2,5203,Hires
JTS00000000HIL,2005,M03,3,5207,Hires
JTS00000000HIL,2005,M04,4,5291,Hires
JTS00000000HIL,2005,M05,5,5271,Hires
JTS00000000HIL,2005,M06,6,5286,Hires
JTS00000000HIL,2005,M07,7,5301,Hires
JTS00000000HIL,2005,M08,8,5431,Hires
JTS00000000HIL,2005,M09,9,5429,Hires
JTS00000000HIL,2005,M10,10,5065,Hires
JTS00000000HIL,2005,M11,11,5227,Hires
JTS00000000HIL,2005,M12,12,5057,Hires
JTS00000000HIL,2006,M01,1,5218,Hires
JTS00000000HIL,2006,M02,2,5347,Hires
JTS00000000HIL,2006,M03,3,5294,Hires
JTS00000000HIL,2006,M04,4,5125,Hires
JTS00000000HIL,2006,M05,5,5470,Hires
JTS00000000HIL,2006,M06,6,5256,Hires
JTS00000000HIL,2006,M07,7,5357,Hires
JTS00000000HIL,2006,M08,8,5208,Hires
JTS00000000HIL,2006,M09,9,5213,Hires
JTS00000000HIL,2006,M10,10,5170,Hires
JTS00000000HIL,2006,M11,11,5469,Hires
JTS00000000HIL,2006,M12,12,5190,Hires
JTS00000000HIL,2007,M01,1,5195,Hires
JTS00000000HIL,2007,M02,2,5178,Hires
JTS00000000HIL,2007,M03,3,5287,Hires
JTS00000000HIL,2007,M04,4,5153,Hires
JTS00000000HIL,2007,M05,5,5217,Hires
JTS00000000HIL,2007,M06,6,5180,Hires
JTS00000000HIL,2007,M07,7,5106,Hires
JTS00000000HIL,2007,M08,8,5131,Hires
JTS00000000HIL,2007,M09,9,5136,Hires
JTS00000000HIL,2007,M10,10,5203,Hires
JTS00000000HIL,2007,M11,11,5177,Hires
JTS00000000HIL,2007,M12,12,5035,Hires
JTS00000000HIL,2008,M01,1,4868,Hires
JTS00000000HIL,2008,M02,2,4863,Hires
JTS00000000HIL,2008,M03,3,4759,Hires
JTS00000000HIL,2008,M04,4,4857,Hires
JTS00000000HIL,2008,M05,5,4604,Hires
JTS00000000HIL,2008,M06,6,4782,Hires
JTS00000000HIL,2008,M07,7,4467,Hires
JTS00000000HIL,2008,M08,8,4580,Hires
JTS00000000HIL,2008,M09,9,4297,Hires
JTS00000000HIL,2008,M10,10,4454,Hires
JTS00000000HIL,2008,M11,11,3899,Hires
JTS00000000HIL,2008,M12,12,4271,Hires
JTS00000000HIL,2009,M01,1,4111,Hires
JTS00000000HIL,2009,M02,2,4004,Hires
JTS00000000HIL,2009,M03,3,3697,Hires
JTS00000000HIL,2009,M04,4,3870,Hires
JTS00000000HIL,2009,M05,5,3736,Hires
JTS00000000HIL,2009,M06,6,3649,Hires
JTS00000000HIL,2009,M07,7,3807,Hires
JTS00000000HIL,2009,M08,8,3734,Hires
JTS00000000HIL,2009,M09,9,3846,Hires
JTS00000000HIL,2009,M10,10,3746,Hires
JTS00000000HIL,2009,M11,11,3966,Hires
JTS00000000HIL,2009,M12,12,3819,Hires
JTS00000000HIL,2010,M01,1,3903,Hires
JTS00000000HIL,2010,M02,2,3778,Hires
JTS00000000HIL,2010,M03,3,4189,Hires
JTS00000000HIL,2010,M04,4,4087,Hires
JTS00000000HIL,2010,M05,5,4368,Hires
JTS00000000HIL,2010,M06,6,4074,Hires
JTS00000000HIL,2010,M07,7,4121,Hires
JTS00000000HIL,2010,M08,8,3914,Hires
JTS00000000HIL,2010,M09,9,3995,Hires
JTS00000000HIL,2010,M10,10,4050,Hires
JTS00000000HIL,2010,M11,11,4110,Hires
JTS00000000HIL,2010,M12,12,4180,Hires
JTS00000000HIL,2011,M01,1,3904,Hires
JTS00000000HIL,2011,M02,2,4035,Hires
JTS00000000HIL,2011,M03,3,4266,Hires
JTS00000000HIL,2011,M04,4,4219,Hires
JTS00000000HIL,2011,M05,5,4125,Hires
JTS00000000HIL,2011,M06,6,4297,Hires
JTS00000000HIL,2011,M07,7,4180,Hires
JTS00000000HIL,2011,M08,8,4193,Hires
JTS00000000HIL,2011,M09,9,4326,Hires
JTS00000000HIL,2011,M10,10,4217,Hires
JTS00000000HIL,2011,M11,11,4235,Hires
JTS00000000HIL,2011,M12,12,4254,Hires
JTS00000000HIL,2012,M01,1,4296,Hires
JTS00000000HIL,2012,M02,2,4451,Hires
JTS00000000HIL,2012,M03,3,4472,Hires
JTS00000000HIL,2012,M04,4,4305,Hires
JTS00000000HIL,2012,M05,5,4440,Hires
JTS00000000HIL,2012,M06,6,4338,Hires
JTS00000000HIL,2012,M07,7,4285,Hires
JTS00000000HIL,2012,M08,8,4460,Hires
JTS00000000HIL,2012,M09,9,4220,Hires
JTS00000000HIL,2012,M10,10,4322,Hires
JTS00000000HIL,2012,M11,11,4417,Hires
JTS00000000HIL,2012,M12,12,4361,Hires
JTS00000000HIL,2013,M01,1,4411,Hires
JTS00000000HIL,2013,M02,2,4574,Hires
JTS00000000HIL,2013,M03,3,4289,Hires
JTS00000000HIL,2013,M04,4,4490,Hires
JTS00000000HIL,2013,M05,5,4554,Hires
JTS00000000HIL,2013,M06,6,4410,Hires
JTS00000000HIL,2013,M07,7,4493,Hires
JTS00000000HIL,2013,M08,8,4647,Hires
JTS00000000HIL,2013,M09,9,4651,Hires
JTS00000000HIL,2013,M10,10,4458,Hires
JTS00000000HIL,2013,M11,11,4616,Hires
JTS00000000HIL,2013,M12,12,4545,Hires
JTS00000000HIL,2014,M01,1,4600,Hires
JTS00000000HIL,2014,M02,2,4698,Hires
JTS00000000HIL,2014,M03,3,4744,Hires
JTS00000000HIL,2014,M04,4,4790,Hires
JTS00000000HIL,2014,M05,5,4805,Hires
JTS00000000HIL,2014,M06,6,4820,Hires
JTS00000000HIL,2014,M07,7,5003,Hires
JTS00000000HIL,2014,M08,8,4792,Hires
JTS00000000HIL,2014,M09,9,5061,Hires
JTS00000000HIL,2014,M10,10,5106,Hires
JTS00000000HIL,2014,M11,11,5026,Hires
JTS00000000HIL,2014,M12,12,5239,Hires
JTS00000000HIL,2015,M01,1,4994,Hires
JTS00000000HIL,2015,M02,2,5011,Hires
JTS00000000HIL,2015,M03,3,5088,Hires
JTS00000000HIL,2015,M04,4,5034,Hires
JTS00000000HIL,2015,M05,5,5060,Hires
JTS00000000HIL,2015,M06,6,5182,Hires
JTS00000000HIL,2015,M07,7,5065,Hires
JTS00000000HIL,2015,M08,8,5081,Hires
JTS00000000HIL,2015,M09,9,5080,Hires
JTS00000000HIL,2015,M10,10,5168,Hires
JTS00000000HIL,2015,M11,11,5256,Hires
JTS00000000HIL,2015,M12,12,5361,Hires
JTS00000000LDL,2000,M12,12,1879,Layoffs and discharges
JTS00000000LDL,2001,M01,1,2109,Layoffs and discharges
JTS00000000LDL,2001,M02,2,1800,Layoffs and discharges
JTS00000000LDL,2001,M03,3,2134,Layoffs and discharges
JTS00000000LDL,2001,M04,4,1929,Layoffs and discharges
JTS00000000LDL,2001,M05,5,2007,Layoffs and discharges
JTS00000000LDL,2001,M06,6,1924,Layoffs and discharges
JTS00000000LDL,2001,M07,7,1941,Layoffs and discharges
JTS00000000LDL,2001,M08,8,1878,Layoffs and discharges
JTS00000000LDL,2001,M09,9,2056,Layoffs and discharges
JTS00000000LDL,2001,M10,10,2222,Layoffs and discharges
JTS00000000LDL,2001,M11,11,2120,Layoffs and discharges
JTS00000000LDL,2001,M12,12,1881,Layoffs and discharges
JTS00000000LDL,2002,M01,1,1840,Layoffs and discharges
JTS00000000LDL,2002,M02,2,1970,Layoffs and discharges
JTS00000000LDL,2002,M03,3,1765,Layoffs and discharges
JTS00000000LDL,2002,M04,4,1900,Layoffs and discharges
JTS00000000LDL,2002,M05,5,1931,Layoffs and discharges
JTS00000000LDL,2002,M06,6,1850,Layoffs and discharges
JTS00000000LDL,2002,M07,7,1990,Layoffs and discharges
JTS00000000LDL,2002,M08,8,1856,Layoffs and discharges
JTS00000000LDL,2002,M09,9,1888,Layoffs and discharges
JTS00000000LDL,2002,M10,10,1847,Layoffs and discharges
JTS00000000LDL,2002,M11,11,1912,Layoffs and discharges
JTS00000000LDL,2002,M12,12,1986,Layoffs and discharges
JTS00000000LDL,2003,M01,1,1980,Layoffs and discharges
JTS00000000LDL,2003,M02,2,1950,Layoffs and discharges
JTS00000000LDL,2003,M03,3,1868,Layoffs and discharges
JTS00000000LDL,2003,M04,4,2023,Layoffs and discharges
JTS00000000LDL,2003,M05,5,1977,Layoffs and discharges
JTS00000000LDL,2003,M06,6,2136,Layoffs and discharges
JTS00000000LDL,2003,M07,7,2053,Layoffs and discharges
JTS00000000LDL,2003,M08,8,1979,Layoffs and discharges
JTS00000000LDL,2003,M09,9,1893,Layoffs and discharges
JTS00000000LDL,2003,M10,10,1889,Layoffs and discharges
JTS00000000LDL,2003,M11,11,1812,Layoffs and discharges
JTS00000000LDL,2003,M12,12,1951,Layoffs and discharges
JTS00000000LDL,2004,M01,1,1913,Layoffs and discharges
JTS00000000LDL,2004,M02,2,1838,Layoffs and discharges
JTS00000000LDL,2004,M03,3,1889,Layoffs and discharges
JTS00000000LDL,2004,M04,4,1911,Layoffs and discharges
JTS00000000LDL,2004,M05,5,1858,Layoffs and discharges
JTS00000000LDL,2004,M06,6,1880,Layoffs and discharges
JTS00000000LDL,2004,M07,7,1819,Layoffs and discharges
JTS00000000LDL,2004,M08,8,1954,Layoffs and discharges
JTS00000000LDL,2004,M09,9,1829,Layoffs and discharges
JTS00000000LDL,2004,M10,10,1794,Layoffs and discharges
JTS00000000LDL,2004,M11,11,1954,Layoffs and discharges
JTS00000000LDL,2004,M12,12,1973,Layoffs and discharges
JTS00000000LDL,2005,M01,1,1913,Layoffs and discharges
JTS00000000LDL,2005,M02,2,1909,Layoffs and discharges
JTS00000000LDL,2005,M03,3,1958,Layoffs and discharges
JTS00000000LDL,2005,M04,4,1884,Layoffs and discharges
JTS00000000LDL,2005,M05,5,1911,Layoffs and discharges
JTS00000000LDL,2005,M06,6,1967,Layoffs and discharges
JTS00000000LDL,2005,M07,7,1862,Layoffs and discharges
JTS00000000LDL,2005,M08,8,1878,Layoffs and discharges
JTS00000000LDL,2005,M09,9,1902,Layoffs and discharges
JTS00000000LDL,2005,M10,10,1717,Layoffs and discharges
JTS00000000LDL,2005,M11,11,1639,Layoffs and discharges
JTS00000000LDL,2005,M12,12,1735,Layoffs and discharges
JTS00000000LDL,2006,M01,1,1719,Layoffs and discharges
JTS00000000LDL,2006,M02,2,1721,Layoffs and discharges
JTS00000000LDL,2006,M03,3,1630,Layoffs and discharges
JTS00000000LDL,2006,M04,4,1743,Layoffs and discharges
JTS00000000LDL,2006,M05,5,1933,Layoffs and discharges
JTS00000000LDL,2006,M06,6,1674,Layoffs and discharges
JTS00000000LDL,2006,M07,7,1767,Layoffs and discharges
JTS00000000LDL,2006,M08,8,1627,Layoffs and discharges
JTS00000000LDL,2006,M09,9,1741,Layoffs and discharges
JTS00000000LDL,2006,M10,10,1770,Layoffs and discharges
JTS00000000LDL,2006,M11,11,1826,Layoffs and discharges
JTS00000000LDL,2006,M12,12,1724,Layoffs and discharges
JTS00000000LDL,2007,M01,1,1681,Layoffs and discharges
JTS00000000LDL,2007,M02,2,1762,Layoffs and discharges
JTS00000000LDL,2007,M03,3,1787,Layoffs and discharges
JTS00000000LDL,2007,M04,4,1856,Layoffs and discharges
JTS00000000LDL,2007,M05,5,1725,Layoffs and discharges
JTS00000000LDL,2007,M06,6,1830,Layoffs and discharges
JTS00000000LDL,2007,M07,7,1797,Layoffs and discharges
JTS00000000LDL,2007,M08,8,1841,Layoffs and discharges
JTS00000000LDL,2007,M09,9,2071,Layoffs and discharges
JTS00000000LDL,2007,M10,10,1911,Layoffs and discharges
JTS00000000LDL,2007,M11,11,1924,Layoffs and discharges
JTS00000000LDL,2007,M12,12,1794,Layoffs and discharges
JTS00000000LDL,2008,M01,1,1823,Layoffs and discharges
JTS00000000LDL,2008,M02,2,1875,Layoffs and discharges
JTS00000000LDL,2008,M03,3,1842,Layoffs and discharges
JTS00000000LDL,2008,M04,4,1854,Layoffs and discharges
JTS00000000LDL,2008,M05,5,1813,Layoffs and discharges
JTS00000000LDL,2008,M06,6,2021,Layoffs and discharges
JTS00000000LDL,2008,M07,7,1906,Layoffs and discharges
JTS00000000LDL,2008,M08,8,2137,Layoffs and discharges
JTS00000000LDL,2008,M09,9,1960,Layoffs and discharges
JTS00000000LDL,2008,M10,10,2126,Layoffs and discharges
JTS00000000LDL,2008,M11,11,2187,Layoffs and discharges
JTS00000000LDL,2008,M12,12,2407,Layoffs and discharges
JTS00000000LDL,2009,M01,1,2502,Layoffs and discharges
JTS00000000LDL,2009,M02,2,2468,Layoffs and discharges
JTS00000000LDL,2009,M03,3,2442,Layoffs and discharges
JTS00000000LDL,2009,M04,4,2592,Layoffs and discharges
JTS00000000LDL,2009,M05,5,2118,Layoffs and discharges
JTS00000000LDL,2009,M06,6,2123,Layoffs and discharges
JTS00000000LDL,2009,M07,7,2237,Layoffs and discharges
JTS00000000LDL,2009,M08,8,2063,Layoffs and discharges
JTS00000000LDL,2009,M09,9,2095,Layoffs and discharges
JTS00000000LDL,2009,M10,10,1972,Layoffs and discharges
JTS00000000LDL,2009,M11,11,1863,Layoffs and discharges
JTS00000000LDL,2009,M12,12,1981,Layoffs and discharges
JTS00000000LDL,2010,M01,1,1872,Layoffs and discharges
JTS00000000LDL,2010,M02,2,1795,Layoffs and discharges
JTS00000000LDL,2010,M03,3,1879,Layoffs and discharges
JTS00000000LDL,2010,M04,4,1660,Layoffs and discharges
JTS00000000LDL,2010,M05,5,1760,Layoffs and discharges
JTS00000000LDL,2010,M06,6,1978,Layoffs and discharges
JTS00000000LDL,2010,M07,7,2091,Layoffs and discharges
JTS00000000LDL,2010,M08,8,1766,Layoffs and discharges
JTS00000000LDL,2010,M09,9,1775,Layoffs and discharges
JTS00000000LDL,2010,M10,10,1661,Layoffs and discharges
JTS00000000LDL,2010,M11,11,1779,Layoffs and discharges
JTS00000000LDL,2010,M12,12,1776,Layoffs and discharges
JTS00000000LDL,2011,M01,1,1687,Layoffs and discharges
JTS00000000LDL,2011,M02,2,1657,Layoffs and discharges
JTS00000000LDL,2011,M03,3,1736,Layoffs and discharges
JTS00000000LDL,2011,M04,4,1669,Layoffs and discharges
JTS00000000LDL,2011,M05,5,1688,Layoffs and discharges
JTS00000000LDL,2011,M06,6,1844,Layoffs and discharges
JTS00000000LDL,2011,M07,7,1758,Layoffs and discharges
JTS00000000LDL,2011,M08,8,1717,Layoffs and discharges
JTS00000000LDL,2011,M09,9,1761,Layoffs and discharges
JTS00000000LDL,2011,M10,10,1749,Layoffs and discharges
JTS00000000LDL,2011,M11,11,1782,Layoffs and discharges
JTS00000000LDL,2011,M12,12,1695,Layoffs and discharges
JTS00000000LDL,2012,M01,1,1675,Layoffs and discharges
JTS00000000LDL,2012,M02,2,1759,Layoffs and discharges
JTS00000000LDL,2012,M03,3,1692,Layoffs and discharges
JTS00000000LDL,2012,M04,4,1841,Layoffs and discharges
JTS00000000LDL,2012,M05,5,1841,Layoffs and discharges
JTS00000000LDL,2012,M06,6,1779,Layoffs and discharges
JTS00000000LDL,2012,M07,7,1646,Layoffs and discharges
JTS00000000LDL,2012,M08,8,1880,Layoffs and discharges
JTS00000000LDL,2012,M09,9,1768,Layoffs and discharges
JTS00000000LDL,2012,M10,10,1751,Layoffs and discharges
JTS00000000LDL,2012,M11,11,1781,Layoffs and discharges
JTS00000000LDL,2012,M12,12,1552,Layoffs and discharges
JTS00000000LDL,2013,M01,1,1606,Layoffs and discharges
JTS00000000LDL,2013,M02,2,1619,Layoffs and discharges
JTS00000000LDL,2013,M03,3,1784,Layoffs and discharges
JTS00000000LDL,2013,M04,4,1720,Layoffs and discharges
JTS00000000LDL,2013,M05,5,1728,Layoffs and discharges
JTS00000000LDL,2013,M06,6,1642,Layoffs and discharges
JTS00000000LDL,2013,M07,7,1626,Layoffs and discharges
JTS00000000LDL,2013,M08,8,1685,Layoffs and discharges
JTS00000000LDL,2013,M09,9,1776,Layoffs and discharges
JTS00000000LDL,2013,M10,10,1526,Layoffs and discharges
JTS00000000LDL,2013,M11,11,1536,Layoffs and discharges
JTS00000000LDL,2013,M12,12,1682,Layoffs and discharges
JTS00000000LDL,2014,M01,1,1752,Layoffs and discharges
JTS00000000LDL,2014,M02,2,1671,Layoffs and discharges
JTS00000000LDL,2014,M03,3,1684,Layoffs and discharges
JTS00000000LDL,2014,M04,4,1703,Layoffs and discharges
JTS00000000LDL,2014,M05,5,1659,Layoffs and discharges
JTS00000000LDL,2014,M06,6,1700,Layoffs and discharges
JTS00000000LDL,2014,M07,7,1827,Layoffs and discharges
JTS00000000LDL,2014,M08,8,1663,Layoffs and discharges
JTS00000000LDL,2014,M09,9,1694,Layoffs and discharges
JTS00000000LDL,2014,M10,10,1745,Layoffs and discharges
JTS00000000LDL,2014,M11,11,1595,Layoffs and discharges
JTS00000000LDL,2014,M12,12,1725,Layoffs and discharges
JTS00000000LDL,2015,M01,1,1722,Layoffs and discharges
JTS00000000LDL,2015,M02,2,1688,Layoffs and discharges
JTS00000000LDL,2015,M03,3,1894,Layoffs and discharges
JTS00000000LDL,2015,M04,4,1784,Layoffs and discharges
JTS00000000LDL,2015,M05,5,1660,Layoffs and discharges
JTS00000000LDL,2015,M06,6,1779,Layoffs and discharges
JTS00000000LDL,2015,M07,7,1646,Layoffs and discharges
JTS00000000LDL,2015,M08,8,1725,Layoffs and discharges
JTS00000000LDL,2015,M09,9,1786,Layoffs and discharges
JTS00000000LDL,2015,M10,10,1703,Layoffs and discharges
JTS00000000LDL,2015,M11,11,1686,Layoffs and discharges
JTS00000000LDL,2015,M12,12,1607,Layoffs and discharges
JTS00000000OSL,2000,M12,12,344,Other separations
JTS00000000OSL,2001,M01,1,368,Other separations
JTS00000000OSL,2001,M02,2,327,Other separations
JTS00000000OSL,2001,M03,3,377,Other separations
JTS00000000OSL,2001,M04,4,427,Other separations
JTS00000000OSL,2001,M05,5,362,Other separations
JTS00000000OSL,2001,M06,6,363,Other separations
JTS00000000OSL,2001,M07,7,364,Other separations
JTS00000000OSL,2001,M08,8,401,Other separations
JTS00000000OSL,2001,M09,9,390,Other separations
JTS00000000OSL,2001,M10,10,372,Other separations
JTS00000000OSL,2001,M11,11,333,Other separations
JTS00000000OSL,2001,M12,12,369,Other separations
JTS00000000OSL,2002,M01,1,373,Other separations
JTS00000000OSL,2002,M02,2,378,Other separations
JTS00000000OSL,2002,M03,3,376,Other separations
JTS00000000OSL,2002,M04,4,398,Other separations
JTS00000000OSL,2002,M05,5,352,Other separations
JTS00000000OSL,2002,M06,6,359,Other separations
JTS00000000OSL,2002,M07,7,411,Other separations
JTS00000000OSL,2002,M08,8,366,Other separations
